d_5p_del,d_gene,count
5,IGHD3-3*01,2
7,IGHD6-13*01,3
8,IGHD6-13*01,2
7,IGHD6-19*01,1
0,IGHD6-19*01,5
9,IGHD5-12*01,4
7,IGHD4-17*01,1
16,IGHD2-2*03,6
1,IGHD3-3*01,1
6,IGHD7-27*01,4
2,IGHD3-9*01,3
12,IGHD3-10*02,1
5,IGHD5-5*01,1
4,IGHD6-25*01,5
0,IGHD2-2*02,7
1,IGHD6-19*01,2
6,IGHD6-19*01,5
0,IGHD3/OR15-3b*01,2
16,IGHD2-15*01,1
0,IGHD5-5*01,4
19,IGHD2-15*01,1
16,IGHD2-2*02,1
1,IGHD4-17*01,1
14,IGHD3-3*02,1
5,IGHD5-12*01,1
4,IGHD6-13*01,4
2,IGHD6-13*01,1
0,IGHD1-7*01,4
16,IGHD3-16*02,4
3,IGHD3-3*01,1
2,IGHD3-3*01,1
4,IGHD3-10*01,4
13,IGHD2-8*02,1
0,IGHD4-17*01,2
0,IGHD2-2*01,1
0,IGHD5/OR15-5b*01,1
0,IGHD3-16*02,3
13,IGHD3-16*01,1
13,IGHD2-21*02,1
3,IGHD3/OR15-3b*01,1
6,IGHD3-3*02,4
10,IGHD3-3*02,1
4,IGHD3-3*01,2
0,IGHD1-1*01,1
3,IGHD4-17*01,6
18,IGHD2-15*01,3
4,IGHD1-26*01,4
0,IGHD3-3*01,7
3,IGHD4-23*01,3
0,IGHD3-22*01,5
1,IGHD3-3*02,1
0,IGHD2-2*03,1
