bin_low_edge,contents,binerror,xtitle,binlabel
-0.5,0.0,0.0,,
0.5,5.0,2.23606797749979,,IGHV1-18*04
1.5,5.0,2.23606797749979,,IGHV1-2*04
2.5,1.0,1.0,,IGHV1-46*02
3.5,5.0,2.23606797749979,,IGHV1-69D*01
4.5,2.0,1.4142135623730951,,IGHV1/OR15-3*02
5.5,15.0,3.872983346207417,,IGHV3-23D*01
6.5,4.0,2.0,,IGHV3-30*15
7.5,8.0,2.8284271247461903,,IGHV3-53*02
8.5,9.0,3.0,,IGHV3-64*04
9.5,5.0,2.23606797749979,,IGHV3-64*05
10.5,5.0,2.23606797749979,,IGHV3-66*03
11.5,14.0,3.7416573867739413,,IGHV3-7*01
12.5,10.0,3.1622776601683795,,IGHV3-7*02
13.5,7.0,2.6457513110645907,,IGHV3-7*03
14.5,1.0,1.0,,IGHV3-74*03
15.5,3.0,1.7320508075688772,,IGHV3-9*03
16.5,23.0,4.795831523312719,,IGHV3-NL1*01
17.5,1.0,1.0,,IGHV4-39*07
18.5,2.0,1.4142135623730951,,IGHV4-59*08
19.5,1.0,1.0,,IGHV4-59*09
20.5,2.0,1.4142135623730951,,IGHV4-61*02
21.5,1.0,1.0,,IGHV4-61*03
22.5,1.0,1.0,,IGHV4-61*08
23.5,3.0,1.7320508075688772,,IGHV4/OR15-8*03
24.5,0.0,0.0,,
