bin_low_edge,contents,binerror,xtitle,binlabel
-1.5,0.0,0.0,hamming distance,
-0.5,0.66,0.05744562646538029,hamming distance,
0.5,0.21,0.032403703492039304,hamming distance,
1.5,0.09,0.021213203435596423,hamming distance,
2.5,0.005,0.005,hamming distance,
3.5,0.005,0.005,hamming distance,
4.5,0.005,0.005,hamming distance,
5.5,0.005,0.005,hamming distance,
6.5,0.005,0.005,hamming distance,
7.5,0.005,0.005,hamming distance,
8.5,0.005,0.005,hamming distance,
9.5,0.005,0.005,hamming distance,
10.5,0.0,0.0,hamming distance,
