bin_low_edge,contents,binerror,xtitle,binlabel
-1.5,0.0,0.0,,
-0.5,25.0,5.0,,
0.5,19.0,4.358898943540674,,
1.5,8.0,2.8284271247461903,,
2.5,13.0,3.605551275463989,,
3.5,5.0,2.23606797749979,,
4.5,16.0,4.0,,
5.5,4.0,2.0,,
6.5,1.0,1.0,,
7.5,0.0,0.0,,
8.5,19.0,4.358898943540674,,
9.5,5.0,2.23606797749979,,
10.5,5.0,2.23606797749979,,
11.5,4.0,2.0,,
12.5,2.0,1.4142135623730951,,
13.5,1.0,1.0,,
14.5,3.0,1.7320508075688772,,
15.5,0.0,0.0,,
16.5,1.0,1.0,,
17.5,0.0,0.0,,
18.5,0.0,0.0,,
19.5,2.0,1.4142135623730951,,
20.5,0.0,0.0,,
