bin_low_edge,contents,binerror,xtitle,binlabel
-0.5,0.0,0.0,,
0.5,1.0,1.0,,IGHD1-1*01
1.5,4.0,2.0,,IGHD1-26*01
2.5,4.0,2.0,,IGHD1-7*01
3.5,5.0,2.23606797749979,,IGHD2-15*01
4.5,1.0,1.0,,IGHD2-2*01
5.5,8.0,2.8284271247461903,,IGHD2-2*02
6.5,7.0,2.6457513110645907,,IGHD2-2*03
7.5,1.0,1.0,,IGHD2-21*02
8.5,1.0,1.0,,IGHD2-8*02
9.5,4.0,2.0,,IGHD3-10*01
10.5,1.0,1.0,,IGHD3-10*02
11.5,1.0,1.0,,IGHD3-16*01
12.5,7.0,2.6457513110645907,,IGHD3-16*02
13.5,5.0,2.23606797749979,,IGHD3-22*01
14.5,14.0,3.7416573867739413,,IGHD3-3*01
15.5,7.0,2.6457513110645907,,IGHD3-3*02
16.5,3.0,1.7320508075688772,,IGHD3-9*01
17.5,3.0,1.7320508075688772,,IGHD3/OR15-3b*01
18.5,10.0,3.1622776601683795,,IGHD4-17*01
19.5,3.0,1.7320508075688772,,IGHD4-23*01
20.5,5.0,2.23606797749979,,IGHD5-12*01
21.5,5.0,2.23606797749979,,IGHD5-5*01
22.5,1.0,1.0,,IGHD5/OR15-5b*01
23.5,10.0,3.1622776601683795,,IGHD6-13*01
24.5,13.0,3.605551275463989,,IGHD6-19*01
25.5,5.0,2.23606797749979,,IGHD6-25*01
26.5,4.0,2.0,,IGHD7-27*01
27.5,0.0,0.0,,
