bin_low_edge,contents,binerror,xtitle,binlabel
-1.5,0.0,0.0,,
-0.5,47.0,6.855654600401044,,
0.5,9.0,3.0,,
1.5,3.0,1.7320508075688772,,
2.5,9.0,3.0,,
3.5,10.0,3.1622776601683795,,
4.5,3.0,1.7320508075688772,,
5.5,5.0,2.23606797749979,,
6.5,3.0,1.7320508075688772,,
7.5,15.0,3.872983346207417,,
8.5,0.0,0.0,,
9.5,3.0,1.7320508075688772,,
10.5,12.0,3.4641016151377544,,
11.5,9.0,3.0,,
12.5,0.0,0.0,,
13.5,0.0,0.0,,
14.5,0.0,0.0,,
15.5,0.0,0.0,,
16.5,0.0,0.0,,
17.5,5.0,2.23606797749979,,
18.5,0.0,0.0,,
