bin_low_edge,contents,binerror,xtitle,binlabel
-1.5,0.0,0.0,,
-0.5,11.0,3.3166247903554,,
0.5,8.0,2.8284271247461903,,
1.5,17.0,4.123105625617661,,
2.5,5.0,2.23606797749979,,
3.5,20.0,4.47213595499958,,
4.5,18.0,4.242640687119285,,
5.5,20.0,4.47213595499958,,
6.5,6.0,2.449489742783178,,
7.5,7.0,2.6457513110645907,,
8.5,0.0,0.0,,
9.5,0.0,0.0,,
10.5,0.0,0.0,,
11.5,0.0,0.0,,
12.5,0.0,0.0,,
13.5,7.0,2.6457513110645907,,
14.5,9.0,3.0,,
15.5,0.0,0.0,,
16.5,0.0,0.0,,
17.5,0.0,0.0,,
18.5,5.0,2.23606797749979,,
19.5,0.0,0.0,,
