bin_low_edge,contents,binerror,xtitle,binlabel
-1.5,0.0,0.0,,
-0.5,0.0,0.0836585,,
0.5,1.0,0.08365841117219786,,
1.5,0.0,0.0836585,,
2.5,0.4,0.18050000000000002,,
3.5,0.0,0.0836585,,
4.5,0.0,0.0836585,,
5.5,0.0,0.0836585,,
6.5,0.0,0.0836585,,
7.5,0.6,0.18049999999999997,,
8.5,0.0,0.0836585,,
9.5,0.0,0.0836585,,
10.5,0.2,0.161221,,
11.5,0.0,0.0836585,,
12.5,0.0,0.0836585,,
13.5,0.2,0.161221,,
14.5,0.0,0.0836585,,
15.5,0.0,0.0836585,,
16.5,0.2,0.161221,,
17.5,0.25,0.1831225,,
18.5,0.0,0.098629,,
19.5,0.0,0.0,,
