bin_low_edge,contents,binerror,xtitle,binlabel
0.5,0.0,0.0,,
1.5,0.6,0.18049999999999997,,
2.5,0.2,0.118587,,
3.5,0.0,0.047524,,
4.5,0.1,0.0991775,,
5.5,0.1,0.0991775,,
6.5,0.0,0.047524,,
7.5,0.0,0.047524,,
8.5,0.3,0.1307335,,
9.5,0.0,0.047524,,
10.5,0.6,0.1375145,,
11.5,0.1,0.0991775,,
12.5,0.1,0.0991775,,
13.5,0.0,0.047524,,
14.5,0.0,0.047524,,
15.5,0.0,0.047524,,
16.5,0.0,0.047524,,
17.5,0.0,0.047524,,
18.5,0.0,0.047524,,
19.5,0.0,0.047524,,
20.5,0.0,0.047524,,
21.5,0.1,0.0991775,,
22.5,0.0,0.047524,,
23.5,0.0,0.047524,,
24.5,0.0,0.047524,,
25.5,0.0,0.047524,,
26.5,0.0,0.047524,,
27.5,0.0,0.0,,
